Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Month
2,2023-02-27,CUST002,Female,26,Clothing,2,500,1000,2
6,2023-04-25,CUST006,Female,45,Beauty,1,30,30,4
10,2023-10-07,CUST010,Female,52,Clothing,4,50,200,10
15,2023-01-16,CUST015,Female,42,Electronics,4,500,2000,1
17,2023-04-22,CUST017,Female,27,Clothing,4,25,100,4
18,2023-04-30,CUST018,Female,47,Electronics,2,25,50,4
19,2023-09-16,CUST019,Female,62,Clothing,2,25,50,9
21,2023-01-14,CUST021,Female,50,Beauty,1,500,500,1
23,2023-04-12,CUST023,Female,35,Clothing,4,30,120,4
24,2023-11-29,CUST024,Female,49,Clothing,1,300,300,11
25,2023-12-26,CUST025,Female,64,Beauty,1,50,50,12
26,2023-10-07,CUST026,Female,28,Electronics,2,500,1000,10
27,2023-08-03,CUST027,Female,38,Beauty,2,25,50,8
28,2023-04-23,CUST028,Female,43,Beauty,1,500,500,4
29,2023-08-18,CUST029,Female,42,Electronics,1,30,30,8
30,2023-10-29,CUST030,Female,39,Beauty,3,300,900,10
33,2023-03-23,CUST033,Female,50,Electronics,2,50,100,3
34,2023-12-24,CUST034,Female,51,Clothing,3,50,150,12
35,2023-08-05,CUST035,Female,58,Beauty,3,300,900,8
37,2023-05-23,CUST037,Female,18,Beauty,3,25,75,5
43,2023-07-14,CUST043,Female,48,Clothing,1,300,300,7
44,2023-02-19,CUST044,Female,22,Clothing,1,25,25,2
45,2023-07-03,CUST045,Female,55,Electronics,1,30,30,7
46,2023-06-26,CUST046,Female,20,Electronics,4,300,1200,6
47,2023-11-06,CUST047,Female,40,Beauty,3,500,1500,11
49,2023-01-23,CUST049,Female,54,Electronics,2,500,1000,1
50,2023-08-24,CUST050,Female,27,Beauty,3,25,75,8
52,2023-03-05,CUST052,Female,36,Beauty,1,300,300,3
54,2023-02-10,CUST054,Female,38,Electronics,3,500,1500,2
56,2023-05-31,CUST056,Female,26,Clothing,3,300,900,5
57,2023-11-18,CUST057,Female,63,Beauty,1,30,30,11
66,2023-04-27,CUST066,Female,45,Electronics,1,30,30,4
67,2023-05-29,CUST067,Female,48,Beauty,4,300,1200,5
69,2023-04-30,CUST069,Female,56,Beauty,3,25,75,4
70,2023-02-21,CUST070,Female,43,Clothing,1,300,300,2
71,2023-07-14,CUST071,Female,51,Beauty,4,25,100,7
72,2023-05-23,CUST072,Female,20,Electronics,4,500,2000,5
74,2023-11-22,CUST074,Female,18,Beauty,4,500,2000,11
76,2023-03-25,CUST076,Female,22,Electronics,2,50,100,3
77,2023-07-09,CUST077,Female,47,Clothing,2,50,100,7
78,2023-07-01,CUST078,Female,47,Clothing,3,500,1500,7
80,2023-12-10,CUST080,Female,64,Clothing,2,30,60,12
82,2023-12-26,CUST082,Female,32,Beauty,4,50,200,12
84,2023-11-28,CUST084,Female,38,Electronics,3,30,90,11
87,2023-11-22,CUST087,Female,28,Beauty,2,50,100,11
89,2023-10-01,CUST089,Female,55,Electronics,4,500,2000,10
90,2023-05-06,CUST090,Female,51,Electronics,1,30,30,5
91,2023-03-25,CUST091,Female,55,Electronics,1,500,500,3
92,2023-08-25,CUST092,Female,51,Electronics,4,30,120,8
93,2023-07-14,CUST093,Female,35,Beauty,4,500,2000,7
94,2023-05-19,CUST094,Female,47,Beauty,2,500,1000,5
95,2023-11-24,CUST095,Female,32,Clothing,2,30,60,11
96,2023-12-19,CUST096,Female,44,Clothing,2,300,600,12
97,2023-10-13,CUST097,Female,51,Beauty,2,500,1000,10
98,2023-04-23,CUST098,Female,55,Beauty,2,50,100,4
99,2023-12-17,CUST099,Female,50,Electronics,4,300,1200,12
102,2023-04-28,CUST102,Female,47,Beauty,2,25,50,4
103,2023-01-17,CUST103,Female,59,Clothing,1,25,25,1
104,2023-06-11,CUST104,Female,34,Beauty,2,500,1000,6
105,2023-07-25,CUST105,Female,22,Electronics,1,500,500,7
106,2023-05-18,CUST106,Female,46,Clothing,1,50,50,5
107,2023-02-03,CUST107,Female,21,Clothing,4,300,1200,2
108,2023-04-19,CUST108,Female,27,Beauty,3,25,75,4
109,2023-10-18,CUST109,Female,34,Electronics,4,500,2000,10
111,2023-04-19,CUST111,Female,34,Electronics,3,500,1500,4
113,2023-09-13,CUST113,Female,41,Electronics,2,25,50,9
114,2023-07-22,CUST114,Female,22,Beauty,4,25,100,7
116,2023-08-23,CUST116,Female,23,Clothing,1,30,30,8
118,2023-05-16,CUST118,Female,30,Electronics,4,500,2000,5
119,2023-03-13,CUST119,Female,60,Clothing,3,50,150,3
121,2023-10-15,CUST121,Female,28,Electronics,4,50,200,10
123,2023-05-15,CUST123,Female,40,Electronics,2,30,60,5
126,2023-10-26,CUST126,Female,28,Clothing,3,30,90,10
127,2023-07-24,CUST127,Female,33,Clothing,2,25,50,7
129,2023-04-23,CUST129,Female,21,Beauty,2,300,600,4
130,2023-03-12,CUST130,Female,57,Clothing,1,500,500,3
131,2023-09-18,CUST131,Female,21,Beauty,2,300,600,9
141,2023-11-02,CUST141,Female,22,Electronics,1,50,50,11
143,2023-07-17,CUST143,Female,45,Clothing,1,50,50,7
144,2023-07-15,CUST144,Female,59,Beauty,3,500,1500,7
145,2023-11-02,CUST145,Female,39,Clothing,3,25,75,11
150,2023-01-06,CUST150,Female,58,Electronics,4,30,120,1
156,2023-11-25,CUST156,Female,43,Clothing,4,25,100,11
158,2023-02-27,CUST158,Female,44,Electronics,2,300,600,2
160,2023-08-11,CUST160,Female,43,Clothing,2,50,100,8
163,2023-01-02,CUST163,Female,64,Clothing,3,50,150,1
164,2023-05-15,CUST164,Female,47,Beauty,3,500,1500,5
165,2023-09-14,CUST165,Female,60,Clothing,4,300,1200,9
167,2023-09-17,CUST167,Female,43,Clothing,3,50,150,9
170,2023-06-02,CUST170,Female,25,Clothing,2,25,50,6
171,2023-11-24,CUST171,Female,52,Clothing,3,300,900,11
174,2023-04-12,CUST174,Female,39,Beauty,1,300,300,4
175,2023-03-20,CUST175,Female,31,Electronics,4,25,100,3
176,2023-07-11,CUST176,Female,43,Beauty,2,50,100,7
183,2023-09-08,CUST183,Female,43,Beauty,3,300,900,9
187,2023-06-07,CUST187,Female,64,Clothing,2,50,100,6
190,2023-05-04,CUST190,Female,60,Beauty,3,30,90,5
196,2023-09-30,CUST196,Female,32,Clothing,3,300,900,9
197,2023-03-06,CUST197,Female,42,Clothing,4,50,200,3
198,2023-03-07,CUST198,Female,54,Beauty,3,300,900,3
202,2023-03-26,CUST202,Female,34,Clothing,4,300,1200,3
205,2023-11-07,CUST205,Female,43,Clothing,1,25,25,11
207,2023-04-19,CUST207,Female,42,Beauty,2,25,50,4
208,2023-10-04,CUST208,Female,34,Electronics,4,50,200,10
209,2023-12-20,CUST209,Female,30,Electronics,4,50,200,12
217,2023-08-13,CUST217,Female,35,Electronics,4,50,200,8
219,2023-08-20,CUST219,Female,53,Electronics,3,30,90,8
223,2023-02-02,CUST223,Female,64,Clothing,1,25,25,2
224,2023-06-23,CUST224,Female,25,Clothing,1,50,50,6
225,2023-01-11,CUST225,Female,57,Beauty,4,25,100,1
226,2023-10-29,CUST226,Female,61,Clothing,1,50,50,10
228,2023-04-28,CUST228,Female,59,Electronics,2,30,60,4
231,2023-01-04,CUST231,Female,23,Clothing,3,50,150,1
232,2023-02-06,CUST232,Female,43,Beauty,1,25,25,2
233,2023-12-29,CUST233,Female,51,Beauty,2,300,600,12
234,2023-11-20,CUST234,Female,62,Electronics,2,25,50,11
235,2023-01-31,CUST235,Female,23,Electronics,2,500,1000,1
236,2023-04-28,CUST236,Female,54,Clothing,1,25,25,4
